64 64 1.134341 2.156964
128 64 0.818564 1.730032
192 64 0.509413 1.138085
256 64 0.419010 0.584621
320 64 -0.502303 0.901608
384 64 -0.351346 0.109192
448 64 -0.865041 -0.079905
64 128 1.890345 1.492112
128 128 1.342462 1.322362
192 128 0.503392 0.822520
256 128 0.818586 0.405359
320 128 0.259032 -0.069836
384 128 -0.023293 -0.187833
448 128 -0.350324 -0.631701
64 192 2.114518 1.515309
128 192 1.564765 0.828477
192 192 1.320686 0.855077
256 192 0.942995 0.275732
320 192 1.091769 -0.021138
384 192 0.232408 -0.388500
448 192 -0.059902 -0.783639
64 256 2.241565 1.005771
128 256 2.257896 0.839480
192 256 1.544310 0.618435
256 256 1.483780 -0.027105
320 256 0.959934 -0.199076
384 256 0.869389 -0.900844
448 256 0.506209 -0.954216
64 320 2.790770 0.942047
128 320 2.907305 0.464299
192 320 1.983871 0.043309
256 320 1.895712 -0.452623
320 320 1.452655 -0.566685
384 320 1.188096 -1.109450
448 320 0.934168 -1.282861
64 384 3.776025 0.374280
128 384 3.072819 0.495361
192 384 2.758832 -0.165778
256 384 2.654242 -0.538176
320 384 1.740113 -0.776965
384 384 1.510818 -1.617391
448 384 1.494646 -1.688483
64 448 3.819920 0.276081
128 448 3.213414 -0.365288
192 448 3.057539 -0.486508
256 448 2.473334 -0.850576
320 448 2.041677 -1.438703
384 448 1.997115 -1.491061
448 448 1.486234 -1.845586
