64 64 0.338348 0.821465
128 64 -0.231203 0.568221
192 64 -0.365163 0.227817
256 64 -1.042206 -0.426850
320 64 -1.054805 -0.694949
384 64 -1.218812 -0.872574
448 64 -1.870783 -1.027907
64 128 0.859019 0.345075
128 128 0.260711 0.062847
192 128 0.438092 -0.053063
256 128 -0.438703 -0.721033
320 128 -0.761268 -0.968233
384 128 -1.243672 -1.447350
448 128 -1.381389 -2.163265
64 192 1.160231 0.335890
128 192 0.872491 -0.094744
192 192 0.234292 -0.495859
256 192 -0.014437 -0.915075
320 192 -0.247347 -1.277062
384 192 -0.684121 -1.723315
448 192 -1.068920 -1.889711
64 256 1.305708 -0.029601
128 256 1.455385 -0.633054
192 256 0.919429 -0.981871
256 256 0.076486 -1.309865
320 256 0.144524 -1.287663
384 256 -0.283569 -1.873080
448 256 -0.342979 -2.316305
64 320 1.991621 -0.218602
128 320 1.571970 -0.770224
192 320 1.305264 -1.097060
256 320 0.949056 -1.316904
320 320 0.717252 -2.095985
384 320 0.272983 -2.012743
448 320 0.045480 -2.706253
64 384 2.328830 -0.832868
128 384 2.334341 -0.924365
192 384 1.555676 -1.460788
256 384 1.646992 -1.811560
320 384 1.051895 -1.802139
384 384 0.612025 -2.511149
448 384 0.346505 -3.327260
64 448 2.756979 -0.922443
128 448 2.492876 -1.876362
192 448 2.151476 -1.983532
256 448 2.027493 -1.364132
320 448 1.373752 -2.759451
384 448 0.816628 -3.839708
448 448 0.368508 -3.228715
