64 64 4.690712 -0.236928
128 64 3.971476 0.380309
192 64 3.490841 0.458434
256 64 2.910546 0.587876
320 64 2.142220 1.494365
384 64 1.624836 1.360574
448 64 1.112086 2.549247
64 128 4.524985 -0.916531
128 128 3.854183 -0.537502
192 128 3.028351 0.182052
256 128 2.102454 0.522723
320 128 1.392881 0.747724
384 128 1.431954 1.291812
448 128 0.819983 1.925925
64 192 3.690791 -2.091048
128 192 3.154990 -1.115808
192 192 2.248184 -0.814332
256 192 1.944735 -0.194358
320 192 1.121923 0.254157
384 192 0.821325 1.155855
448 192 -0.054372 0.910540
64 256 3.700140 -1.923520
128 256 2.966526 -2.259770
192 256 1.826524 -1.407234
256 256 1.077657 -0.699550
320 256 0.705561 -0.463567
384 256 -0.093576 0.259949
448 256 -0.193366 0.585347
64 320 2.804257 -2.792038
128 320 2.153786 -2.509033
192 320 1.388454 -1.645389
256 320 0.543359 -1.816500
320 320 0.216568 -0.635602
384 320 0.252789 -1.071720
448 320 -0.968587 0.199604
64 384 2.177096 -3.395355
128 384 1.437373 -2.446968
192 384 0.637378 -2.499995
256 384 0.643126 -1.924714
320 384 -0.599293 -1.416012
384 384 -0.645557 -0.864905
448 384 -1.678420 -0.256981
64 448 2.121773 -3.629741
128 448 1.050343 -3.318174
192 448 0.260647 -2.836195
256 448 -0.178817 -1.827694
320 448 -1.051219 -1.862293
384 448 -1.463971 -1.398700
448 448 -1.858486 -0.895779
