64 64 0.906366 2.548826
128 64 0.886143 2.184296
192 64 0.302812 1.935313
256 64 0.231659 1.154606
320 64 -0.468565 1.063899
384 64 -0.761155 0.624816
448 64 -0.947919 0.469881
64 128 1.626279 1.995767
128 128 1.184482 1.655491
192 128 0.474781 1.366523
256 128 0.507925 0.623020
320 128 -0.053474 0.597803
384 128 -0.188784 0.102516
448 128 -0.577271 -0.164483
64 192 2.074646 1.955340
128 192 1.334994 1.323954
192 192 1.099029 1.281040
256 192 0.767646 0.700864
320 192 0.964593 0.366250
384 192 -0.103525 -0.180576
448 192 0.085600 -0.560238
64 256 2.206504 1.109103
128 256 1.857065 1.112749
192 256 1.378039 0.923571
256 256 1.752163 0.396424
320 256 0.716911 0.303392
384 256 0.761327 -0.381893
448 256 0.250429 -0.564055
64 320 2.813235 1.491450
128 320 2.678465 0.785933
192 320 1.870636 0.459281
256 320 1.885383 -0.014076
320 320 1.105411 -0.157797
384 320 1.023087 -0.550933
448 320 0.742477 -0.982390
64 384 3.338180 1.044790
128 384 2.805485 0.853613
192 384 2.582347 0.271504
256 384 2.325516 0.123080
320 384 1.722828 -0.311180
384 384 1.190057 -0.974539
448 384 1.115081 -1.484300
64 448 3.637465 0.556754
128 448 3.241111 0.110738
192 448 2.875141 -0.186043
256 448 2.202302 -0.253121
320 448 1.885360 -1.020586
384 448 1.700421 -1.347452
448 448 1.430890 -1.594827
