64.0	64.0	3.251581	3.43654
128.0	64.0	0.811825	2.009109
192.0	64.0	0.189304	1.358918
256.0	64.0	0.268136	0.03803
320.0	64.0	-1.538926	-0.317563
384.0	64.0	-2.53118	-0.832359
448.0	64.0	-2.996516	-2.519382
64.0	128.0	2.850462	2.303404
128.0	128.0	3.325197	3.349664
192.0	128.0	2.359452	0.963162
256.0	128.0	0.18589	-0.549369
320.0	128.0	-0.579121	-1.975653
384.0	128.0	-0.596551	-2.434377
448.0	128.0	-2.843562	-3.41539
64.0	192.0	6.260752	2.536309
128.0	192.0	3.683331	0.815473
192.0	192.0	2.71786	0.055455
256.0	192.0	1.198313	-1.017218
320.0	192.0	0.671146	-2.445032
384.0	192.0	-0.257374	-3.342356
448.0	192.0	-1.129049	-4.724799
64.0	256.0	5.621111	0.832076
128.0	256.0	4.580336	-0.20209
192.0	256.0	4.117714	-1.580771
256.0	256.0	2.814759	-2.182004
320.0	256.0	1.777032	-2.90226
384.0	256.0	0.161029	-4.226972
448.0	256.0	0.323752	-5.61304
64.0	320.0	6.28463	-0.111172
128.0	320.0	5.726348	-1.331103
192.0	320.0	4.990325	-1.957497
256.0	320.0	4.056443	-4.068746
320.0	320.0	2.408257	-6.226162
384.0	320.0	1.913965	-5.467355
448.0	320.0	0.285577	-6.686837
64.0	384.0	7.54516	-1.189681
128.0	384.0	6.968181	-2.279402
192.0	384.0	5.750238	-3.71252
256.0	384.0	5.104966	-4.257199
320.0	384.0	2.478144	-5.417366
384.0	384.0	3.627535	-6.183851
448.0	384.0	1.806822	-6.703015
64.0	448.0	8.299311	-2.176707
128.0	448.0	7.754725	-2.328898
192.0	448.0	7.132199	-4.202668
256.0	448.0	5.818404	-4.614562
320.0	448.0	4.81421	-6.243276
384.0	448.0	4.237231	-8.153266
448.0	448.0	3.167481	-7.799928
